HC_class,n,model,R2,Adjusted_R2,CV_R2_mean,CV_R2_std
0.6–0.9,5364,Random Forest: Baseline (intensity+acc),,,0.038904991984957824,0.2292721277944426
0.6–0.9,5364,Random Forest: + antecedent,,,0.08121818814712341,0.1861061349446963
0.6–0.9,5364,Random Forest: + neighbourhood,,,0.11679375589795012,0.21586229754229033
0.6–0.9,5364,Random Forest: + shape/temporal-loading,,,0.23409548539741457,0.2128948061865003
0.9–1,1288,Baseline (cc),0.3210043942708809,0.32047640390872756,,
0.9–1,1288,+ intensity,0.4722443435962602,0.4714229340143089,,
0.9–1,1288,+ antecedent,0.47441010435962205,0.47318209058476135,,
0.9–1,1288,+ neighbourhood,0.5042726307710244,0.5015616217205534,,
0.9–1,1288,+ shape/temporal-loading,0.5422402007514988,0.5375691823918203,,
0.9–1,1288,Random Forest: Baseline (intensity+acc),,,0.0933871901306443,0.20897531862725177
0.9–1,1288,Random Forest: + antecedent,,,0.07856002786846113,0.1850556182911627
0.9–1,1288,Random Forest: + neighbourhood,,,0.18923255482001128,0.17434771051298448
0.9–1,1288,Random Forest: + shape/temporal-loading,,,0.37805175577825606,0.08778183411597086
0–0.1,7793,Baseline (cc),0.2058799376077639,0.20577800973426996,,
0–0.1,7793,+ intensity,0.24711703692763787,0.24692374220027646,,
0–0.1,7793,+ antecedent,0.2492822998205474,0.24899315447447756,,
0–0.1,7793,+ neighbourhood,0.2922896789051722,0.2916533305111242,,
0–0.1,7793,+ shape/temporal-loading,0.2997531050096699,0.298582876235422,,
0–0.1,7793,Random Forest: Baseline (intensity+acc),,,0.16943110731170138,0.05427013960785725
0–0.1,7793,Random Forest: + antecedent,,,0.17236476197744297,0.044877392307626475
0–0.1,7793,Random Forest: + neighbourhood,,,0.2106555954260365,0.039554235701823974
0–0.1,7793,Random Forest: + shape/temporal-loading,,,0.24644791303165436,0.03334670589173569
1–2,19555,Baseline (cc),0.27262685659699915,0.27258965651806477,,
1–2,19555,+ intensity,0.5030561873885608,0.5030053543471726,,
1–2,19555,+ antecedent,0.5030599650246566,0.5029837121421992,,
1–2,19555,+ neighbourhood,0.5105902118810844,0.5104149487452154,,
1–2,19555,+ shape/temporal-loading,0.5421719731785706,0.5418673948894002,,
1–2,19555,Random Forest: Baseline (intensity+acc),,,0.423274775993295,0.08654538707554267
1–2,19555,Random Forest: + antecedent,,,0.45233721173389024,0.07187315628519404
1–2,19555,Random Forest: + neighbourhood,,,0.45752537099649626,0.07161643247525572
1–2,19555,Random Forest: + shape/temporal-loading,,,0.5286495136808316,0.06480829318704583
2–3,3200,Baseline (cc),0.23729065309684205,0.23705215736610308,,
2–3,3200,+ intensity,0.6707932852555623,0.6705873379832792,,
2–3,3200,+ antecedent,0.6720548859331469,0.671747052597039,,
2–3,3200,+ neighbourhood,0.6765774853256644,0.6758682254250628,,
2–3,3200,+ shape/temporal-loading,0.6927507610041654,0.691497076099286,,
2–3,3200,Random Forest: Baseline (intensity+acc),,,0.5088605142176595,0.1921993381751235
2–3,3200,Random Forest: + antecedent,,,0.5598990662361633,0.14141090718414512
2–3,3200,Random Forest: + neighbourhood,,,0.5635413326683038,0.13711284318029146
2–3,3200,Random Forest: + shape/temporal-loading,,,0.6120928979286058,0.11566015970335801
3–inf,847,Baseline (cc),0.05863812756645048,0.05752408984759427,,
3–inf,847,+ intensity,0.5965085959164831,0.5955524551485126,,
3–inf,847,+ antecedent,0.6025693723900774,0.6011550285195794,,
3–inf,847,+ neighbourhood,0.603735234868787,0.600429092609051,,
3–inf,847,+ shape/temporal-loading,0.6165604912660617,0.6105764413098298,,
3–inf,847,Random Forest: Baseline (intensity+acc),,,0.4834967595320162,0.055169350874717686
3–inf,847,Random Forest: + antecedent,,,0.5376349931546749,0.09733936584546071
3–inf,847,Random Forest: + neighbourhood,,,0.5190124684079442,0.11076952131779501
3–inf,847,Random Forest: + shape/temporal-loading,,,0.548757394947453,0.06288741759992422
